id,nom,national
"1","ABDI","false"
"2","ABDI MOHAMED","false"
"3","ADIALEA RCI","true"
"4","ALI BABA CI","false"
"5","BALDE IBRAHIMA","false"
"6","BON MARCHE","false"
"7","BOUSSOURA SARL","false"
"8","CIVADIS","true"
"9","COMPAGNIE DE DISTRIBUTION (C.D.C.I)","true"
"10","COTE D'IVOIRE SUPERMARCHES","true"
"11","DYNAMIS","false"
"12","ESF KORHOGO","false"
"13","ETABLISSEMENT EL VALAH SARL","false"
"14","ETABLISSEMENT LEMRABOTT & FRÈRES","false"
"15","ETABLISSEMENT NIARE & FRERES","false"
"16","IDMCI","false"
"17","IVOIRE DISTRIBUTION MARCHANDISES C.I","false"
"18","KADERIM SA","true"
"19","KAZA DISTRIBUTION","false"
"20","NICE SERVICE","false"
"21","NOUVEAUX DISTRIBUTEURS ASSOCIES","false"
"22","OMNI RETAIL","false"
"23","PLAISIR BACHUSS","false"
"24","PRODISMA","false"
"25","PROSUMA CASH PORT","true"
"26","PROSUMA DIVISION CENTRALE","true"
"27","RIDACOM","false"
"28","RIZKALLAH MICHEL","false"
"29","SDHPA","false"
"30","SDTP","false"
"31","SIDECOM","false"
"32","SOCOCE COTE D'IVOIRE SA","true"
"33","SOCOCE INTERIEUR","false"
"34","SOCOPRIX","true"
"35","SODIAMA","false"
"36","SODICOM-CI","false"
"37","SODISMAF","false"
"38","SOMALI-CI","false"
"39","Societe des 2 Plateaux - S.2.P","true"
"40","TAHIROU","false"
"41","UP GROUND SALES & MARKETING","false"
