id,code,nom,sous_region_code
"1","BIN","Bingerville","SOUTH1"
"2","COC 1","Cocody 1","SOUTH1"
"3","COC 2","Cocody 2","SOUTH1"
"4","TRE","Treichville","SOUTH1"
"5","MAR","Marcory","SOUTH1"
"6","KOU","koumassi","SOUTH1"
"7","PRB","Port bouet","SOUTH1"
"8","BAS","Bassam","SOUTH1"
"9","ABO","Aboisso","SOUTH1"
"10","PLA","Plateau","SOUTH1"
"11","YOP 1","Yopougon 1","SOUTH2"
"12","YOP 2","Yopougon 2","SOUTH2"
"13","YOP 3","Yopougon 3","SOUTH2"
"14","YOP 4","Yopougon 4","SOUTH2"
"15","DAB","Dabou","SOUTH2"
"16","ABO 1","Abobo 1","SOUTH2"
"17","ABO 2","Abobo 2","SOUTH2"
"18","ANY","Anyama","SOUTH2"
"19","ADJ","Adjame","SOUTH2"
"20","ADZ","Adzope","SOUTH2"
"21","AGB","Agboville","SOUTH2"
"22","ABEN","Abengourou","CNE"
"23","YAM","Yamoussoukro","CNE"
"24","DIM","Dimbokro","CNE"
"25","BKE 1","Bouake 1","CNE"
"26","BKE 2","Bouake 2","CNE"
"27","KAT","Katiola","CNE"
"28","KOR","Korhogo","CNE"
"29","FER","Ferke","CNE"
"30","BON","Bondoukou","CNE"
"31","DAL","Daloa","WEST"
"32","MNK","Mankono","WEST"
"33","MAN","Man","WEST"
"34","SOU","Soubre","WEST"
"35","SPD","San Pedro","WEST"
"36","GAG 2","Gagnoa 2","WEST"
"37","GAG 1","Gagnoa 1","WEST"
"38","DIV","Divo","WEST"
"39","GUI 1","Guiglo 1","WEST"
"40","GUI 2","Guiglo 2","WEST"
"41","ODI","Odienne","WEST"
"42","Boun","Bouna","CNE"
