id,code,nom,territoire_code
"1","NVEG","NOUVEAU GOUDRON/ FEH KESSE/ CITE SIR/ AKANDJE/ LAURIER 15/SANTE","BIN"
"2","BLAN","BLANCHON/PALMERAIE BINGERVILLE/ADJAME BINGERVILLE/ BREGBO/AKOUAI SANTE/AMAN/","BIN"
"3","BCIE","BASE CIE/ KOROCOBOUGOU/GBAGBA/BERLIN/SAVANE/MACHOU/SICOGI/MACHOUX/MARCHE/","BIN"
"4","ABAT","ABATTA/ABATTA VILLAGE/JULES VERNE/CITE DU PORT","BIN"
"5","BING","TOUT BINGERVILLE","BIN"
"6","LCET","LYCEE TECHNIQUE/VALLON/COLOMBIE","COC 1"
"7","MAHO","MAHOU COLOMBIE","COC 1"
"8","PERL","PERLE/MAHOU/ANGRE","COC 1"
"9","PALM","PALMERAIE/ATTOBAN /BONOUMIN","COC 1"
"10","PALM2","PALMERAIE2 COCOVICO","COC 1"
"11","ANGR","ANGRE 2PLATEAUX 7 TRANCHE","COC 1"
"12","DJOR","BESSIKOI/DJOROBITE","COC 1"
"13","DNGA","DANGA/COCODY CENTRE/BLAUKOSS","COC 2"
"14","BLKH","BLAUKOSS COCODY CENTRE","COC 2"
"15","RVER2","RIVIERA 2/ RIVIERA 3/ GOLF","COC 2"
"16","ANON","ANONO","COC 2"
"17","FAYB","FAYA BON PRIX/ABATTA","COC 2"
"18","CIAD","CIAD/MPOUTO/SYNACACI/FAYA (COTE ECHANGEUR)","COC 2"
"19","ARAS","ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3","TRE"
"20","BIAF","ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3","TRE"
"21","RSD","RÉSIDENTIEL / CHAMPROUX / GROUPEMENT/ HIBISCUS / MASSARANA","MAR"
"22","SICOG","SICOGI / REMBLAIS / ANOUMANBO/ SANS FIL / ZONE 4","MAR"
"23","HIBI","RÉSIDENTIEL / CHAMPROUX / GRPE/ HIBISCUS / MASSARANA / SICOGI / REMBLAIS /ANOUMANBO/ SANS FIL/ ZONE4","MAR"
"24","RBLA","REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05","KOU"
"25","CTE147","CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI","KOU"
"26","AHOU","AHOUSSABOUGOU/ 3 AMPOULES/ MARCHÉ DJE KONAN/SOLEIL/GELTI","KOU"
"27","KMSS32","REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05 /3 AMPOULES / AHOUSSABOUGOU","KOU"
"28","PRDM","CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI/ MARCHÉ DJE KONAN / SOLEIL","KOU"
"29","PRBC","PORT BOUET CENTRE/CITÉ POLICIÈRE/PETIT BASSAM/VRIDI","PRB"
"30","AERO","AÉROPORT/ ADJAWUI","PRB"
"31","JANF","JEAN FOLLY/ ADJOUFOU","PRB"
"32","TRCA","TERRE ROUGE/CORRIDOR/ANANI","PRB"
"33","PRBO","PORT BOUET","PRB"
"34","MOKE","MOCKEYVILLE/UNIVERSITÉ AMÉRICAINE/ EDOUKOU MIEZAN/QUARTIER ARTISANAL/MODESTE/ANANI/MOOSOU 1","BAS"
"35","VETO","VETOCO/MOOSOU2/IMPERIAL/DOS/QUARTIER FRANCE/DIOULABOUGOU/AZURETI","BAS"
"36","ANAN","ANANI/DOS/ DIOULABOUGO/PETIT MARCHÉ","BAS"
"37","8KLO","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE","BAS"
"38","YAOU","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE","BAS"
"39","CTREV","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI","BAS"
"40","DJELI","DJELIBA /TP/ PARCERELLE/KONAN KAN/BOIS BLANC/ AYEBO/ADAOU","ABO"
"41","DIATEK","DIATEKRO/SOKORA/CCE/WATTVILLE/BELLEVILLE/SOS/DOSOBAH/CITÉ KOUMI/LYCÉE/ KRINDJABO/KOLAIWA/SANHOUMAN","ABO"
"42","AYME","AYAMÉ/EBIKRA/AKRESIE/N’ZIKRO/BABADOUGOU/EBOUÉ/ABY/ADJOUAN/MOYASSUÉ/AKAKRO/  V1/V2/KRINDJABO/KASSIKRO","ABO"
"43","ADKE","ADIAKÉ/ABOISSO/AYAMÉ/ KRINDJABO/ NOÉ/ ASSE/SOUMIÉ/N'ZIKRO/ KOFFIKRO/BABADOUGOU/ CARF AHENOUA/ADAOU","ABO"
"44","AGBA","AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT","PLA"
"45","CTEFER","AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT","PLA"
"46","ATTC","YOPOUGON 1 & 2","YOP 1"
"47","WASS","WASSAKARA /  SELMER / SICOGI","YOP 1"
"48","SELM","WASSAKARA /  SELMER / SICOGI","YOP 1"
"49","SBLE","YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER","YOP 1"
"50","MILLI","YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER","YOP 1"
"51","NGON","NIANGON NORD / SIDECI","YOP 1"
"52","TOROU","TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO","YOP 1"
"53","LKOD","TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO","YOP 1"
"54","NGOS","NIANGON SUD / AZITO","YOP 2"
"55","AZTO","NIANGON SUD/ AZITO","YOP 2"
"56","KTE","KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO","YOP 2"
"57","BEAG","KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO","YOP 2"
"58","KWEI","KOWEIT/ SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ","YOP 2"
"59","YOPS","KOWEIT/ YOPOUGON SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ","YOP 2"
"60","ADKOI","ANDOKOI/ UNIWAX/CRF ZONE /PRISON CIVILE/SODEFOR  ET CITÉ ADO","YOP 3"
"61","ZNEIND","ZONE INDUSTRIELLE/ MICAO/GESCO FOURRIÈRE/ PK22/SIKENSI/ATTINGUÉ","YOP 3"
"62","MCAO","ANDOKOI/ UNIWAX/ ZONE INDUSTRIELLE/ MICAO GESCO FOURRIÈRE/PRISON CIVILE/ SODEFOR/CITÉ ADO......","YOP 3"
"63","GSCO","ANDOKOI/UNIWAX/ ZONE INDUSTRIELLE/ MICAO/ GESCO FOURRIÈRE/ PRISON CIVILE/ SODEFOR ET CITÉ ADO....","YOP 3"
"64","SPOREXBANCO2/ ABOULAYE DIALLO/ ANANE","SIPOREX/ BANCO2/ ABOULAYE DIALLO/ ANANERAIE/ MAMIE ADJOUA/PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS","YOP 3"
"65","PRTBOU","PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS/ ANANERAIE/ FUSCOM PORT BOUET 2/RD POINT GESCO","YOP 3"
"66","AANERAIEANANERAI","ANANERAIE/ GESCO RD POINT/ BATIM/MAMIE ADJOUA","YOP 3"
"67","LBAFRIQUEJATARK","LUBAFRIQUE/ JATARK/ LOKOA/CITÉ VERTE/BAGNON/ LIÈVRE ROUGE/KM17/BIMBRESSO/","YOP 4"
"68","CNEO","MATY/CANARI /ANTENNE/ SICOGI ATTIÉ/NIANGON À DROITE/ NIANGON CONTINUE/ CITÉ EECI","YOP 4"
"69","KBIM","KM17/BIMBRESSO/  ́JATARK/LOKOA CITÉ VERTE/ LIÈVRE ROUGE","YOP 4"
"70","DCCO","SICOGI ATTIÉ/ST ANDRÉ CÔTÉ DROIT/ PMI/AIMÉ CESAIRE/BON PRIX/ CRF BOBY & POLICIER CÔTÉ DROIT/BAR ECLA","YOP 4"
"71","TRMINUSNUS","TERMINUS 47 SECTEUR DROIT/ SICOGI PMI/ TIKEN DJA/BMW/KIMI","YOP 4"
"72","AADÉMIEMIE","ACADÉMIE/ FIN GOUDRON/ PAYS BAS/CAISTAB/CITÉ LAURIER/ CITÉ VERTE","YOP 4"
"73","MROCAN","MAROC/ANANERAIE/ PORT BOUET 2/LUBAFRIQUE/ NIANGON À DROITE /TEXACO À DROITE","YOP 4"
"74","SNGONN","SONGON/N’DJEM/ CARREFOUR JACQUESVILLE/JACQUESVILLE VILLE/ DABOU/N’ZEKREZESSOU....","DAB"
"75","GANDLA","GRAND LAHOU/CRF GRAND LAHOU/CRF FRESCO/FRESCO VILLE ET PÉRIPHÉRIES","DAB"
"76","DBOUVI","DABOU VILLE/ SONGON/ CARREFOUR JACQUESVILLE....","DAB"
"77","SNGON","SONGON/ CARREFOUR JACQUESVILLE/ JACQUESVILLE/ DABOU/GRAND LAHOU/FRESCO/","DAB"
"78","DKUI","DOKUI / ANADOR / COCO SERVICE DERRIÈRE UNIVERSITÉ ABOBO/ADJAMÉ / ALEPE","ABO 1"
"154","ISSIA","Issia & Environs (mira, zobia, commerce, Saioua)","SOU"
"79","AOCATIERAVOCATIE","AVOCATIER / BC AUTOUTE / NOUVELLE GARE / AGNISSANKOI / BC","ABO 1"
"80","SMANKEKE","SAMANKE / KOLETCHA / ABOBO BAOULE / BIABOU","ABO 1"
"81","AEIKOIOI","AKEIKOI  / HABITAT  / AGBEKOI /  HOUPHOUT BOIGNY","ABO 1"
"82","LCEEMO","LYCEE MODERNE / ETOILE / GENDARMERIE / BON PRIX GENDARMERIE / CHATTONS","ABO 1"
"83","CTEPOL","CITE POLICIERE / CAMP COMMANDO / CNPS / AVENUE KAZA / COLATIER","ABO 1"
"84","AOBOGA","ABOBO GARE  / MAIRIE","ABO 1"
"85","MSQUEB","MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC","ABO 2"
"86","MSQUEB","MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC","ABO 2"
