Famille,Niveau,Pilier,Élément,Requis
Boutique,Flagship Store,Disponibilité,,Requis
Boutique,Flagship Store,Visibilité extérieure,Affiche,Requis
Boutique,Flagship Store,Visibilité extérieure,Flèche,Optionnel
Boutique,Flagship Store,Visibilité extérieure,Guirlande,Optionnel
Boutique,Flagship Store,Visibilité extérieure,sign board,Requis
Boutique,Flagship Store,Visibilité extérieure,Panneau privilège,Requis
Boutique,Flagship Store,Visibilité extérieure,Full branding,Requis
Boutique,Flagship Store,Visibilité intérieure,Reglette,Requis
Boutique,Flagship Store,Visibilité intérieure,Maison BR,Requis
Boutique,Flagship Store,Visibilité intérieure,Hanger,Optionnel
Boutique,Flagship Store,Visibilité intérieure,Wobler,Optionnel
Boutique,Flagship Store,Visibilité intérieure,Présentoire,Optionnel
Boutique,Flagship Store,Visibilité intérieure,TG,Optionnel
Boutique,Flagship Store,Visibilité intérieure,Plaque BR,Optionnel
Boutique,Flagship Store,Visibilité intérieure,Merchandising,Requis
Boutique,Flagship Store,Promotion,Standard,Requis
Boutique,Flagship Store,Promotion,Hotesses,Requis
Boutique,Flagship Store,Promotion,Dégustation,Requis
Boutique,Vip Perfect Store,Disponibilité,,Requis
Boutique,Vip Perfect Store,Visibilité extérieure,Affiche,Requis
Boutique,Vip Perfect Store,Visibilité extérieure,Flèche,Optionnel
Boutique,Vip Perfect Store,Visibilité extérieure,Guirlande,Optionnel
Boutique,Vip Perfect Store,Visibilité extérieure,sign board,Requis
Boutique,Vip Perfect Store,Visibilité extérieure,Panneau privilège,Requis
Boutique,Vip Perfect Store,Visibilité intérieure,Reglette,Requis
Boutique,Vip Perfect Store,Visibilité intérieure,Maison BR,Requis
Boutique,Vip Perfect Store,Visibilité intérieure,Hanger,Optionnel
Boutique,Vip Perfect Store,Visibilité intérieure,Wobler,Optionnel
Boutique,Vip Perfect Store,Visibilité intérieure,Présentoire,Optionnel
Boutique,Vip Perfect Store,Visibilité intérieure,TG,Optionnel
Boutique,Vip Perfect Store,Visibilité intérieure,Merchandising,Requis
Boutique,Vip Perfect Store,Promotion,Standard,Requis
Boutique,Vip Perfect Store,Promotion,Hotesses,Requis
Boutique,Vip Perfect Store,Promotion,Dégustation,Requis
Boutique,Core Perfect Store,Disponibilité,,Requis
Boutique,Core Perfect Store,Visibilité extérieure,Affiche,Requis
Boutique,Core Perfect Store,Visibilité extérieure,Flèche,Optionnel
Boutique,Core Perfect Store,Visibilité intérieure,Reglette,Requis
Boutique,Core Perfect Store,Visibilité intérieure,Maison BR,Requis
Boutique,Core Perfect Store,Visibilité intérieure,Hanger,Optionnel
Boutique,Core Perfect Store,Visibilité intérieure,Wobler,Optionnel
Boutique,Core Perfect Store,Visibilité intérieure,Merchandising,Requis
Boutique,Core Perfect Store,Promotion,Standard,Requis
Boutique,Basic Perfect Store,Disponibilité,,Requis
Boutique,Basic Perfect Store,Visibilité extérieure,Affiche,Requis
Boutique,Basic Perfect Store,Visibilité intérieure,Reglette,Requis
Boutique,Basic Perfect Store,Visibilité intérieure,Maison BR,Requis
Boutique,Basic Perfect Store,Visibilité intérieure,Hanger,Optionnel
Boutique,Basic Perfect Store,Visibilité intérieure,Merchandising,Requis
Boutique,Basic Perfect Store,Promotion,Standard,Requis
Supérette,Flagship Store,Disponibilité,,Requis
Supérette,Flagship Store,Visibilité extérieure,Affiche,Optionnel
Supérette,Flagship Store,Visibilité extérieure,Flèche,Optionnel
Supérette,Flagship Store,Visibilité extérieure,sign board lumineux,Optionnel
Supérette,Flagship Store,Visibilité extérieure,Panneau privilège lumineux,Optionnel
Supérette,Flagship Store,Visibilité intérieure,Reglette,Optionnel
Supérette,Flagship Store,Visibilité intérieure,Espace BR,Requis
Supérette,Flagship Store,Visibilité intérieure,Wobler rayon,Optionnel
Supérette,Flagship Store,Visibilité intérieure,Présentoire,Optionnel
Supérette,Flagship Store,Visibilité intérieure,TG,Optionnel
Supérette,Flagship Store,Visibilité intérieure,Plaque BR,Optionnel
Supérette,Flagship Store,Visibilité intérieure,Merchandising,Requis
Supérette,Flagship Store,Promotion,Standard,Requis
Supérette,Flagship Store,Promotion,Hotesses,Requis
Supérette,Flagship Store,Promotion,Dégustation,Requis
Supérette,Vip Perfect Store,Disponibilité,,Requis
Supérette,Vip Perfect Store,Visibilité extérieure,Affiche,Optionnel
Supérette,Vip Perfect Store,Visibilité extérieure,Flèche,Optionnel
Supérette,Vip Perfect Store,Visibilité intérieure,Reglette,Optionnel
Supérette,Vip Perfect Store,Visibilité intérieure,Espace BR,Requis
Supérette,Vip Perfect Store,Visibilité intérieure,Wobler rayon,Optionnel
Supérette,Vip Perfect Store,Visibilité intérieure,Présentoire,Optionnel
Supérette,Vip Perfect Store,Visibilité intérieure,Plaque BR,Optionnel
Supérette,Vip Perfect Store,Visibilité intérieure,Merchandising,Requis
Supérette,Vip Perfect Store,Promotion,Standard,Requis
Supérette,Vip Perfect Store,Promotion,Hotesses,Requis
Supérette,Vip Perfect Store,Promotion,Dégustation,Requis
Supérette,Core Perfect Store,Disponibilité,,Requis
