Catégorie,SKU,Classification,BOUTIQUE,,,MINI MARKET,,,KIOSQUE,,,ABOKI,,,PUSHCART,,,TABLE TOP,,,PORRIDGE,,
,,,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
EVAP,BR Gold 160g,Support SKU,24,24,12,24,12,,,,,,,,,,,,,,,,
,BR 150g,Herro SKU,48,36,18,48,24,,,,,,,,,,,,,,,,
,BRB 150g,Emerging heros,24,18,12,24,18,,,,,,,,,,,,,,,,
,BR 380g,Support SKU,24,18,10,24,18,,,,,,,,,,,,,,2,,
,BRB 380g,Candidate to delist,12,12,6,12,12,,,,,,,,,,,,,,,,
,Pearl 380g,Support SKU,24,18,10,24,18,,3,3,,2,1,,,,,,,,,,
IMP,BR 15g,Herro SKU,12,12,3,12,12,,,,,,,,,,,,,,,,
,BR Délice 15g,Innovation SKU,12,12,3,12,12,,,,,,,,2,2,,1,,,1,,
,BR Pouch 360g,Emerging heros,6,3,3,6,3,,,,,,,,,,,,,,,,
,BR Delice Pouch 350g,Innovation SKU,6,3,3,6,3,,,,,,,,,,,,,,,,
,BR tin 400g,Emerging heros,12,6,3,12,6,,,,,,,,,,,,,,,,
,BR tin 900g,Support SKU,6,3,,6,3,,,,,,,,,,,,,,,,
,BR tin 2500g,Support SKU,3,,,3,3,,,,,,,,,,,,,,,,
SCM,BR 1kg,Support SKU,3,,,6,3,,,,,,,,,,,,,,,,
,Pearl 1kg,Emerging heros,12,6,3,12,6,,3,2,,3,2,,,,,,,,,,
Règles,Boutique/Mini A : 15 SKU (min 10) · B : 12 SKU (min 8) · C : 11 SKU (min 5). Les Hero SKU sont obligatoires (« must have »). Cellule vide = SKU non requis dans ce type de PDV.,,,,,,,,,,,,,,,,,,,,,,
