"STANDARD DE DISPONIBILITE BOUTIQUE, SUPERETTE ET CANAUX ALTERNATIFS",,,,,,,,,,,,,,,,,,,,,,,
,,,BOUTIQUE,,,MINI MARKET,,,KIOSQUE,,,ABOKI,,,PUSHCART,,,TABLE TOP,,,PORRIDGE,,
,,SKU Classification,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
EVAP,BR Gold 160g,Support SKU,24,24,12,24,12,,,,,,,,,,,,,,,,
,BR 150g,Herro SKU,48,36,18,48,24,,,,,,,,,,,,,,,,
,BRB 150g,Emerging heros,24,18,12,24,18,,,,,,,,,,,,,,,,
,BR 380g,Support SKU,24,18,10,24,18,,,,,,,,,,,,,,2,,
,BRB 380g,Candidate to delist,12,12,6,12,12,,,,,,,,,,,,,,,,
,Pearl 380g,Support SKU,24,18,10,24,18,,3,3,,2,1,,,,,,,,,,
IMP,BR 15g,Herro SKU,12,12,3,12,12,,,,,,,,,,,,,,,,
,BR Délice 15g,Innovation SKU,12,12,3,12,12,,,,,,,,2,2,,1,,,1,,
,BR Pouch 360g,Emerging heros,6,3,3,6,3,,,,,,,,,,,,,,,,
,BR Delice Pouch 350g,Innovation SKU,6,3,3,6,3,,,,,,,,,,,,,,,,
,BR tin 400g,Emerging heros,12,6,3,12,6,,,,,,,,,,,,,,,,
,BR tin 900g,Support SKU,6,3,,6,3,,,,,,,,,,,,,,,,
,BR tin 2500g,Support SKU,3,,,3,3,,,,,,,,,,,,,,,,
SCM,BR 1kg,Support SKU,3,,,6,3,,,,,,,,,,,,,,,,
,Pearl 1kg,Emerging heros,12,6,3,12,6,,3,2,,3,2,,,,,,,,,,
TOTAL,,,228,171,86,231,153,0,6,5,0,5,3,0,2,2,0,1,0,0,3,0,0
,,,15 sku mini 10,12 sku min 8,11 sku min 5,15 sku mini 10,12 sku min 8,11 sku min 5,,,,,,,,,,,,,,,
,,must have les heros skus,,,,,,,,,,,,,,,,,,,,,
,,le nombre de SKU par type de PDV,,,,,,,,,,,,,,,,,,,,,
