FC PH Master Data,COUNTRY CODE,COUNTRY NAME,REGION CODE,EQUIVALENCE,REGION NAME,SUB REGION,EQUIVALENCE,SUB REGION NAME,TERRITORY CODE,TERRITORY NAME,AREA CODE,AREA NAME,dist
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BIN,Bingerville,NVEG,NOUVEAU GOUDRON/ FEH KESSE/ CITE SIR/ AKANDJE/ LAURIER 15/SANTE,DYNAMYS
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BIN,Bingerville,BLAN,BLANCHON/PALMERAIE BINGERVILLE/ADJAME BINGERVILLE/ BREGBO/AKOUAI SANTE/AMAN/,DYNAMYS
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BIN,Bingerville,BCIE,BASE CIE/ KOROCOBOUGOU/GBAGBA/BERLIN/SAVANE/MACHOU/SICOGI/MACHOUX/MARCHE/,DYNAMYS
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BIN,Bingerville,ABAT,ABATTA/ABATTA VILLAGE/JULES VERNE/CITE DU PORT,DYNAMYS
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BIN,Bingerville,BING,TOUT BINGERVILLE,DYNAMYS
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,LCET,LYCEE TECHNIQUE/VALLON/COLOMBIE,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,MAHO,MAHOU COLOMBIE,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,PERL,PERLE/MAHOU/ANGRE,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,PALM,PALMERAIE/ATTOBAN /BONOUMIN,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,PALM2,PALMERAIE2 COCOVICO,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,ANGR,ANGRE 2PLATEAUX 7 TRANCHE,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 1,Cocody 1,DJOR,BESSIKOI/DJOROBITE,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 2,Cocody 2,DNGA,DANGA/COCODY CENTRE/BLAUKOSS,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 2,Cocody 2,BLKH,BLAUKOSS COCODY CENTRE,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 2,Cocody 2,RVER2,RIVIERA 2/ RIVIERA 3/ GOLF,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 2,Cocody 2,ANON,ANONO,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 2,Cocody 2,FAYB,FAYA BON PRIX/ABATTA,PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,COC 2,Cocody 2,CIAD,CIAD/MPOUTO/SYNACACI/FAYA (COTE ECHANGEUR),PRODISMA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,TRE,Treichville,ARAS,ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,TRE,Treichville,BIAF,ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,MAR,Marcory,RSD,RÉSIDENTIEL / CHAMPROUX / GROUPEMENT/ HIBISCUS / MASSARANA,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,MAR,Marcory,SICOG,SICOGI / REMBLAIS / ANOUMANBO/ SANS FIL / ZONE 4,SIDECOM
