Level3_Name,Level4_Name
Hypermarkets,Hypermarket
Premium Supermarkets,Supermarket A
Value Supermarkets,Supermarket B
Value Supermarkets,Supermarket C
Minimarkets,Superettes A
Minimarkets,Superettes B
Minimarkets,Superettes C
Small/Medium Grocery GT,Boutique A
Small/Medium Grocery GT,Boutique  B
Small/Medium Grocery GT,Boutique C
Fuel forecourts,Petrol Station
Pharmacy Chain/Independent,Pharmacy A
Pharmacy Chain/Independent,Pharmacy B
Pharmacy Chain/Independent,Pharmacy C
Bakery (Chain/Independent),Bakery A
Bakery (Chain/Independent),Bakery B
Bakery (Chain/Independent),Bakery C
Wet/Public Market,General Grocery stall
Wet/Public Market,Open Market  Table Top
Wet/Public Market,Tmamies (Oil spice & condiments)
Traditional Wholesale,Wholesalers
Traditional Wholesale,Semi-Wholesalers
Wholesale Club/Cash & Carry,Cash & Carry A
Wholesale Club/Cash & Carry,Cash & Carry B
Bricks and Clicks,E-retailers
Shop in Shop,Home delivery
Hotel chains,Chain Hotel
Hotel chains,Independent Hotel
Full Service Restaurant,International Restaurant
Full Service Restaurant,Local Restaurant
Independent Street Vendor Tea & Coffee,Aboki A
Independent Street Vendor Tea & Coffee,Aboki B
Independent Street Vendor Tea & Coffee,Kiosk A
Independent Street Vendor Tea & Coffee,Kiosk B
Independent Street Vendor Tea & Coffee,Pushcard A
Independent Street Vendor Tea & Coffee,Pushcard B
Independent Street Vendor Tea & Coffee,Horeca coffee
Independent Street Vendor Tea & Coffee,Porridge
Independent Street Vendor Tea & Coffee,Table Top
Institutes/Office/Factory/Industry,Vending machine
Institutes/Office/Factory/Industry,Institutes/company sales
