Hiérarchie territoriale,,,,,,,,
"Un quartier par ligne. Les quartiers d'une même area partagent Territoire, Code area et distributeur. La colonne Équivalence donne la correspondance North/South.",,,,,,,,
,,,,,,,,
Pays,Division,Équiv.,Sous-région,Équiv.,Territoire,Code area,Quartier,Distributeur
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,NVEG,NOUVEAU GOUDRON,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,NVEG,FEH KESSE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,NVEG,CITE SIR,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,NVEG,AKANDJE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,NVEG,LAURIER 15,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,NVEG,SANTE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BLAN,BLANCHON,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BLAN,PALMERAIE BINGERVILLE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BLAN,ADJAME BINGERVILLE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BLAN,BREGBO,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BLAN,AKOUAI SANTE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BLAN,AMAN,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,BASE CIE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,KOROCOBOUGOU,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,GBAGBA,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,BERLIN,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,SAVANE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,MACHOU,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,SICOGI,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,MACHOUX,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BCIE,MARCHE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,ABAT,ABATTA,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,ABAT,ABATTA VILLAGE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,ABAT,JULES VERNE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,ABAT,CITE DU PORT,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bingerville,BING,TOUT BINGERVILLE,DYNAMYS
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,LCET,LYCEE TECHNIQUE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,LCET,VALLON,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,LCET,COLOMBIE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,MAHO,MAHOU COLOMBIE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PERL,PERLE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PERL,MAHOU,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PERL,ANGRE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PALM,PALMERAIE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PALM,ATTOBAN,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PALM,BONOUMIN,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,PALM2,PALMERAIE2 COCOVICO,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,ANGR,ANGRE 2PLATEAUX 7 TRANCHE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,DJOR,BESSIKOI,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 1,DJOR,DJOROBITE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,DNGA,DANGA,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,DNGA,COCODY CENTRE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,DNGA,BLAUKOSS,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,BLKH,BLAUKOSS COCODY CENTRE,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,RVER2,RIVIERA 2,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,RVER2,RIVIERA 3,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,RVER2,GOLF,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,ANON,ANONO,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,FAYB,FAYA BON PRIX,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,FAYB,ABATTA,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,CIAD,CIAD,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,CIAD,MPOUTO,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,CIAD,SYNACACI,PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Cocody 2,CIAD,FAYA (COTE ECHANGEUR),PRODISMA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,ARAS,ARAS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,ARAS,BELLEVILLE,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,ARAS,BIAFRA,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,ARAS,QUARTIER APOLLO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,ARAS,ZONE 3,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,BIAF,ARAS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,BIAF,BELLEVILLE,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,BIAF,BIAFRA,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,BIAF,QUARTIER APOLLO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Treichville,BIAF,ZONE 3,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,RSD,RÉSIDENTIEL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,RSD,CHAMPROUX,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,RSD,GROUPEMENT,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,RSD,HIBISCUS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,RSD,MASSARANA,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,SICOGI,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,REMBLAIS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,ANOUMANBO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,SANS FIL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,ZONE 4,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,RÉSIDENTIEL,SIDECOM
