Territoire,Distributeur,Statut
Abengourou,RIZKALLAH MICHEL,Attribué
Abobo 1,ETABLISSEMENT NIARE & FRERES,Attribué
Abobo 2,LKA SERVICES,Attribué
Aboisso,LKA SERVICES,Attribué
Adjame,BOUSSOURA SARL,Attribué
Adzope,—,À pourvoir
Agboville,—,À pourvoir
Anyama,—,À pourvoir
Bassam,LKA SERVICES,Attribué
Bingerville,DYNAMIS,Attribué
Bondoukou,TAHIROU,Attribué
Bouake 1,SODIAMA,Attribué
Bouake 2,IVOIRE DISTRIBUTION MARCHANDISES C.I,Attribué
Bouna,ABDI,Attribué
Cocody 1,PLAISIR BACHUSS,Attribué
Cocody 2,PRODISMA,Attribué
Dabou,—,À pourvoir
Daloa,BON MARCHE,Attribué
Dimbokro,—,À pourvoir
Divo,RIDACOM,Attribué
Ferke,ESF KORHOGO,Attribué
Gagnoa 1,SOMALI-CI,Attribué
Gagnoa 2,SOCOCE INTERIEUR,Attribué
Guiglo 1,ETABLISSEMENT EL VALAH SARL,Attribué
Guiglo 2,SODISMAF,Attribué
Katiola,IDMCI,Attribué
Korhogo,ESF KORHOGO,Attribué
koumassi,—,À pourvoir
Man,ALI BABA CI,Attribué
Mankono,KAZA DISTRIBUTION,Attribué
Marcory,SIDECOM,Attribué
Odienne,BALDE IBRAHIMA,Attribué
Plateau,BOUSSOURA SARL,Attribué
Port bouet,SDTP,Attribué
Port bouet,SDHPA,Attribué
San Pedro,ETABLISSEMENT LEMRABOTT & FRÈRES,Attribué
Soubre,SOCOCE INTERIEUR,Attribué
Treichville,SIDECOM,Attribué
Yamoussoukro,UP GROUND SALES & MARKETING,Attribué
Yopougon 1,SODICOM-CI,Attribué
Yopougon 2,SODICOM-CI,Attribué
Yopougon 3,NOUVEAUX DISTRIBUTEURS ASSOCIES,Attribué
Yopougon 4,NOUVEAUX DISTRIBUTEURS ASSOCIES,Attribué
Tous les territoires,PROSUMA CASH PORT,Attribué
Tous les territoires,COMPAGNIE DE DISTRIBUTION (C.D.C.I),Attribué
Tous les territoires,KADERIM SA,Attribué
Tous les territoires,SOCOCE COTE D'IVOIRE SA,Attribué
Tous les territoires,SOCOPRIX,Attribué
Tous les territoires,ADIALEA RCI,Attribué
Tous les territoires,PROSUMA DIVISION CENTRALE,Attribué
Tous les territoires,COTE D'IVOIRE SUPERMARCHES,Attribué
Tous les territoires,CIVADIS,Attribué
Tous les territoires,Societe des 2 Plateaux - S.2.P,Attribué
